alimento,unidad,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,colesterol_mg,acidos_saturados_g,acidos_monoinsaturados_g,acidos_poliinsaturados_g,acido_folico_mcg,vitamina_a_mcg,calcio_mg,hierro_mg,sodio_mg,potasio_mg,fosforo_mg,zinc_mg,selenio_mcg,carga_glicemica,categoria,pagina,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol,acido_ascorbico_mg,AG saturados_g,AG monoinsaturados_g,AG poliinsaturados_g,cantidad_sugerida,peso_bruto_g,ac_g_saturados_g,ac_monoinsaturados_g,ac_poliinsaturados_g,AG poliinsaturados (g),AG monoinsaturados (g)
bebidas alcohólicas,,,,,,,,,,,,,,,,,,,,,,,,índice,page_007.png,,,,,,,,,,,,,,,
Zanahoria,1/2 taza,,,,,,4,,,,,,,,,,,,,,,,,Determinación del tamaño del Equivalente con base en los Alimentos de referencia,page_012.png,,,,,,,,,,,,,,,
Manzana,1 pieza,,,,,,15,,,,,,,,,,,,,,,,,Determinación del tamaño del Equivalente con base en los Alimentos de referencia,page_012.png,,,,,,,,,,,,,,,
Tortilla,1 pieza de 30 g,,,,,,15,,,,,,,,,,,,,,,,,Determinación del tamaño del Equivalente con base en los Alimentos de referencia,page_012.png,,,,,,,,,,,,,,,
Frijol cocido,1/2 taza,,,,8,,,,,,,,,,,,,,,,,,,Determinación del tamaño del Equivalente con base en los Alimentos de referencia,page_012.png,,,,,,,,,,,,,,,
Huevo,1 pieza,,,,7,,,,,,,,,,,,,,,,,,,Determinación del tamaño del Equivalente con base en los Alimentos de referencia,page_012.png,,,,,,,,,,,,,,,
Leche,1 taza,,,,9,,12,,,,,,,,,,,,,,,,,Determinación del tamaño del Equivalente con base en los Alimentos de referencia,page_012.png,,,,,,,,,,,,,,,
Aceite,1 cdta,,,,,5,,,,,,,,,,,,,,,,,,Determinación del tamaño del Equivalente con base en los Alimentos de referencia,page_012.png,,,,,,,,,,,,,,,
Azúcar,2 cditas,,,,,,10,,,,,,,,,,,,,,,,,Determinación del tamaño del Equivalente con base en los Alimentos de referencia,page_012.png,,,,,,,,,,,,,,,
Verduras,,,,25,2,0,4,,,,,,,,,,,,,,,,0.3,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Frutas,,,,60,0,0,15,,,,,,,,,,,,,,,,1,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Cereales y tubérculos a.Sin grasa,,,,70,2,0,15,,,,,,,,,,,,,,,,1,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Cereales y tubérculos b.Con grasa,,,,115,2,5,15,,,,,,,,,,,,,,,,1,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Leguminosas,,,,120,8,1,20,,,,,,,,,,,,,,,,1.3,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Alimentos de origen animal a.Muy bajo aporte de grasa,,,,40,7,1,0,,,,,,,,,,,,,,,,0,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Alimentos de origen animal b.Bajo aporte de grasa,,,,55,7,3,0,,,,,,,,,,,,,,,,0,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Alimentos de origen animal c.Moderado aporte de grasa,,,,75,7,5,0,,,,,,,,,,,,,,,,0,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Alimentos de origen animal d.Alto aporte de grasa,,,,100,7,8,0,,,,,,,,,,,,,,,,0,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Leche a.Descremada,,,,95,9,2,12,,,,,,,,,,,,,,,,0.8,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Leche b.Semidescremada,,,,110,9,4,12,,,,,,,,,,,,,,,,0.8,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Leche c.Entera,,,,150,8,8,12,,,,,,,,,,,,,,,,0.8,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Leche d.Con azúcar,,,,200,8,5,30,,,,,,,,,,,,,,,,2,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Aceites y Grasas a.Sin proteína,,,,45,0,5,0,,,,,,,,,,,,,,,,0,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Aceites y Grasas b. Con proteína,,,,70,3,5,3,,,,,,,,,,,,,,,,0.2,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Azúcares a. Sin grasa,,,,40,0,0,10,,,,,,,,,,,,,,,,0.7,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Azúcares b. Con grasa,,,,85,0,5,10,,,,,,,,,,,,,,,,0.7,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Alimentos libres en energía,,,,0,0,0,0,,,,,,,,,,,,,,,,0,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Bebidas alcohólicas,,,,140,0,0,,,,,,,,,,,,,,,,,1.3,Aporte nutrimental promedio de los Grupos en el Sistema de Equivalentes,page_013.png,,,,,,,,,,,,,,,
Vitamina A,,,,,,,,,,,,,,,146,,,,,,,,,Vitaminas y Nutrimentos Inorgánicos,page_014.png,,,,,,,,,,,,,,,
Ácido Ascórbico,mg,,,,,,,,,,,,,,,,,,,,,,,Vitaminas y Nutrimentos Inorgánicos,page_014.png,,,,,,,,,,,,,,,
Ácido Fólico,mg,,,,,,,,,,,,,40,,,,,,,,,,Vitaminas y Nutrimentos Inorgánicos,page_014.png,,,,,,,,,,,,,,,
Calcio,mg,,,,,,,,,,,,,,,180,,,,,,,,Vitaminas y Nutrimentos Inorgánicos,page_014.png,,,,,,,,,,,,,,,
Hierro,mg,,,,,,,,,,,,,,,,2.6,,,,,,,Vitaminas y Nutrimentos Inorgánicos,page_014.png,,,,,,,,,,,,,,,
Potasio,mg,,,,,,,,,,,,,,,,,,250,,,,,Vitaminas y Nutrimentos Inorgánicos,page_014.png,,,,,,,,,,,,,,,
Selenio,mg,,,,,,,,,,,,,,,,,,,,,14,,Vitaminas y Nutrimentos Inorgánicos,page_014.png,,,,,,,,,,,,,,,
Fósforo,mg,,,,,,,,,,,,,,,,,,,112,,,,Vitaminas y Nutrimentos Inorgánicos,page_014.png,,,,,,,,,,,,,,,
Acelga cocida,1/2 taza,72,72,19,1.9,0.1,3.9,3,,0,0,0,0,17.9,275.8,10.1,1.4,654.5,173.5,29.5,0,0,3,verduras,page_016.png,,,,,,,,,,,,,,,
Acelga cruda,2 taza,120,98,22,2.2,0.1,4.3,3,,0,0,0,0,29.5,310.9,14.8,2.5,749.8,222.4,40.3,0,0,3,verduras,page_016.png,,,,,,,,,,,,,,,
Alcachofa mediana cocida,pieza,120,48,25,1.4,0.2,5.7,,,0,0,0,0,42.7,10.1,0.3,0.3,137.3,28.8,35,0,0,,verduras,page_016.png,,,,,,,,,,,,,,,
Aifafa,3 1/2 taza,116,116,27,4.6,0.8,2.4,4,,0.5,0.1,0,0,,,37,9.5,,6.9,,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Alga Nori,10 gramos,10,10,20,4,0,4,,,0,0,0,0,,,40,40,12,,12,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Alga para sushi,10 gramos,10,10,14,4,0.1,3,,,0,0,0,0,,,31.5,0.3,213,68.3,18.8,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Apio crudo,1/2 taza,75,75,14,0.6,0.1,2.7,,,0,0,0,0,4.6,36,0.2,18,233.7,71.9,21.6,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Apio cocido,1 taza,80,80,20,0.8,0.1,2.9,,,0,0,0,0,12,77.6,1.2,24.5,295.2,21.6,22.7,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Arúgula cruda,4 taza,99,99,35,2.1,0.5,8.6,,,0,0,0,0,12,129.6,13.9,1.2,100.4,11.2,23.5,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Berenjena cocida,1 taza,56,56,34,0.8,0.2,4.3,,,0,0,0,0,7.8,35.7,36.4,32.9,2.1,19.5,7.4,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Betoa crudo,39 gramos,39,39,19,1.3,0.1,4.1,,,0,0,0,0,6.7,46.3,12,2,131,23.5,22.5,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Betoa crudo rallado,38 gramos,38,38,18,0.8,0.1,3.8,,,0,0,0,0,7.5,34.9,23.9,0.6,577,18.9,23.6,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Bledos crudo,150 gramos,150,150,27,2.4,0.3,4.6,,,0,0.1,0,0,40.6,80.3,46.7,3.9,0.6,0.6,,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Brócoli cocido,1/2 taza,92,92,26,2.7,0.4,3.7,,,0,0,0,0,68.4,189.5,66.4,6.4,42.5,0.8,0.6,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Brócoli crudo,1 pieza,88,71,19,2.1,0.3,3.4,,,0,0,0,0,11.8,50.2,34,0.6,231.7,19.4,,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Calabacita alargada cruda,1 pieza,111,91,21,1.6,0.1,2.9,,,0,0,0,0,12.3,23.7,22.8,0.5,183.9,0.9,,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Calabacita redonda cruda,1 pieza,100,79,18,1.4,0.1,2.9,,,0,0,0,0,10.3,20.5,10.7,1.2,159.6,0.8,,,,,verduras,page_016.png,,,,,,,,,,,,,,,
Calabaza de Castilla cocida,1/2 taza,,110,22,0.8,0.1,5.4,0.1,0,0,0,0,0,9.9,16.5,0.6,253,1.1,33,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Calabaza zapallo cocida,1/4 pieza,,55,22,0.5,0,5.8,0,0,0,0,0,0,,22.6,0.3,,2.2,,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Col blanca rebanada,1/2 taza,,58,23,0.6,0.1,5.4,0,0,0,0,0,0,10.9,13.2,0.1,84,2.3,16.7,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Cebolla cocida,1/4 taza,,53,23,0.7,0.1,5.3,0,0,0,0,0,0,7.9,11.5,0.1,87,1.5,18.5,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Cebolla morada rebanada,1/2 taza,,58,20,0.5,0.1,4.4,0,0,0,0,0,0,,19,0.8,90.3,5.8,23,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Cebollita de cambray sin raíz,3 pieza,,75,23,1.3,0.1,5.3,0,0,0.1,0,0,0,46.1,51.8,1.1,198.7,11.5,266,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Cebollitas en salmuera,1/2 taza,,95,24,0.9,0.2,6.7,0,0,0,0,0,0,0,44.5,0,0,191.6,9.4,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Champiñón cocido entero,1/2 taza,,78,20,2.8,0.3,3.2,0.1,0,0.1,0,0,0,15.6,3.1,0.2,308.9,8.4,73.5,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Champiñón cocido rebanado,1/2 taza,,70,18,2.5,0.2,2.8,0,0,0.1,0,0,0,14,2.8,0.2,277.2,0,0,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Champiñón crudo entero,1 taza,,93,20,2.9,0.3,3.1,0.1,0.2,0.2,0.1,0,0,14.9,2.8,4.7,296.1,80.1,0,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Champiñón crudo rebanado,1 1/2 taza,,105,23,3.2,0.4,3.4,0.1,0.2,0.2,0.1,0,0,16.8,3.2,5.3,333.9,90.3,0,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Chaya,3 taza,,147,47,4.4,1.5,7.4,0.1,0,0,0,0,0,0,172,1.5,,0,0,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Chaya cocido picado,1/2 taza,,80,19,0.5,0.4,4.1,0.1,0,0,0,0,0,14.4,10.4,0.2,,138.4,0.8,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Chayote crudo,1/2 pieza,,102,19,0.8,0.1,4.5,0,0.1,0,0,0,0,7.7,93.5,17.1,0.3,125.6,2,0,,,,verduras,page_017.png,,,,,,,,,,,,,,,
Chapulí crudo,2 taza,68,39,25,2.7,0.2,3,0,0,,0,0,0,,131.5,19.7,1.9,,,,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chícharo cocido,1/4 taza,40,28,34,2.1,0.1,6.1,0,0,,0,0,0,16,25.2,10.8,0.6,108.4,1.2,28.4,3,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chícharo crudo con vaina,1/2 taza,73,28,22,1.5,0.1,4,0,0,,0,0,0,11,17.9,6.9,0.4,67.2,1.4,46.8,2,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chícharo en vaina,1/3 taza,53,53,21,1.7,0.1,3.4,0.1,0.1,,0,0,0,25.5,15.5,22.4,1.1,128,2.1,29.8,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chícharos y zanahorias congelados,1/4 taza,48,48,25,1.6,0.2,5.3,0.1,0.1,,0,0,0,12.8,,,0.5,,,,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chícaro cruda,3 taza,141,121,24,1.5,0.2,4.1,0.1,0.1,,0.1,0,0,8.5,,,1,,380,26.7,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chilacas crudas,1 1/2 pieza,90,76,19,1.1,0.3,3.6,0,0,,0,0,0,23,5.6,5.6,0.8,17.4,,,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chile ancho,6 gramos,6,6,6,0.6,0.3,4.8,0.1,0.1,,0,0,0,11.6,21.4,89.7,4.6,0,,,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chile chilaca,2 pieza,50,50,8,0.5,0.1,3.9,0.1,,,0,0,0,13.5,12.4,135.5,0,0,0,,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chile chipotle seco,4 pieza,64,54,29,1.2,0.5,4.9,0.1,,,0,0,0,10.5,13.5,124,3.5,0,0,,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chile costeño,4 pieza,54,50,20,0.8,0.2,4.3,0,,,0,0,0,11.6,20.2,171.4,3.5,0,0,,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chile cristalino,2 pieza,7,7,21,0.8,0.5,6.5,0,,,0,0,0,3.7,0,0,0,0,0,,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chile cuaresmeño,150 gramos,150,150,7,0.8,0.6,4,0,,,0,0,0,7,9.8,0.3,0,0,1434.9,0,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chile de árbol seco,4 pieza,7,7,21,1.5,0.5,3.6,0.1,,,0,0,0,230.1,7,0,0,0,0,,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chile escabeche,5 pieza,80,67,25,1.5,0.5,3.6,0.1,,,0,0,0,63.2,155.5,12.1,1.6,228.5,,,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chile guajillo,7 gramos,7,7,21,0.8,0,4,,,,,,,,,,,,,,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chile habanero,1 pieza,7,5,25,1.5,0.5,3.6,0.1,,,0,0,0,63.2,155.5,12.1,1.6,228.5,,,,,,verduras,page_018.png,,,,,,,,,,,,,,,
Chile jalapeño,pieza,9,90,23,1.1,0.5,4.6,2.2,,0,0,0,0.2,31.3,36.8,7.8,0.5,168.3,0,0,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Chile morita,gramos,7,78,24,0.9,0.4,4,0.7,,0,0,0,0,29.3,,10.5,0.5,,,,,,,verduras,page_019.png,,,,,,,,,,,,,,,
Chile mulato,gramos,8,92,24,0.8,0.4,5.2,1.5,,0,0,0,0,227.5,,7.4,1,,,,,,,verduras,page_019.png,,,,,,,,,,,,,,,
Chile nacho (lata),gramos,92,92,19,0.3,0.7,4,0.6,,0,0,0,0,57.6,,10.8,0.4,975.2,0,0,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Chile pasilla,pieza,7,92,27,0.6,0.2,3.3,0.1,,0,0,0,0.1,157.6,,7.4,0,108.8,0,2.2,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Chile poblano,pieza,1,40,15,0.8,0.3,4,0.8,,0,0,0,0,51.1,,9.6,0.4,0,0,1.1,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Chile serrano,gramos,56,56,22,0.8,0.5,6.5,,,0,0,0,0.1,36.4,,7,0,439,0,3.9,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Chile en vinagre,pieza,150,150,23,0.5,0.2,4.3,,,0,0,0,0,124.6,,6.4,0,0,0,0,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Chiles secos,pieza,7,7,120,3.5,0.6,44,3.4,,0,0,0,0,404.4,80.4,64,2.1,625.2,576,149,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Cilantro picado crudo,taza,75,75,28,4.3,0.4,4.1,1.4,,0,0,0,0,31.9,52.6,36,0.6,45.6,25.6,16.8,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Clavo picado (hongo) crudo,taza,112,112,17,1,0.2,6,2.6,,0,0,0,0.1,6.7,47,28.1,3.8,0,0,0,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Col cruda picada,taza,56,56,17,1.4,0.8,4.1,1.2,,0,0,0,0.2,31.4,,31.9,0,35.3,0,0,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Col morada cruda picada,pieza,3,63,23,2.3,0.3,4.5,,,0,0.1,0,0,55.4,37.8,22.6,0.8,40,0,0,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Colecta de Bruselas cocida,taza,1,125,28,1.6,0.1,4.2,,,0,0,0,0,37.1,55,45.6,0,35.2,0,0,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Coliflor cruda,taza,2,80,20,2.1,0.2,4.2,2.2,,0,0,0,0,49,27.7,21.8,0.5,187.7,0,0,0,0,,verduras,page_019.png,,,,,,,,,,,,,,,
Coliflor verde cocida,taza,1,68,22,2.2,0.2,4.2,2.9,,0,0,0,0.1,4.7,2.7,2.1,0,,,,,,,verduras,page_019.png,,,,,,,,,,,,,,,
Coliflor verde cruda,2 taza,128,78,24,2.3,0.2,4.8,,0,0,0,0,0.1,68.8,44.5,25.8,0.6,234.2,18,48.4,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Colinabo crudo,1/2 pieza,85,62,20,1.1,0.1,3.8,,0,0,0,0,0,,,14.9,0.2,217.2,12.4,12.4,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Corazon de alcachofa crudo,1 pieza,25,25,16,0.6,0,4.1,,0,0,0,0,0,1.5,18.5,8,0.2,84.8,20,0,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Corazon de lechuga crudo,1 pieza,130,124,12,1.2,0,4.4,,0,0,0,0,0,6.2,43.2,24.7,0.6,197.6,12.4,0,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Corazon de palmito cocido,3 pieza,99,99,27,2.4,0.6,4.5,,0,0,0,0,0.3,9,39,57,3.1,174,423,0,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Creson cocido,1 taza,135,135,31,2.6,0.8,5.2,,0,0,0.2,0.4,0,313.2,311,50,82.4,476,108,0,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Creson limpio crudo,2 taza,100,100,32,2.8,0.8,5.6,,0,0,0.4,0,0,346,69,80,10,64.8,76,0,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Crucetas crudas,1 taza,116,66,21,1.3,0.2,4.1,,0,0,,,,27.9,2.6,6.7,0,0,0,0,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Cuitlacoche cocido,1/3 taza,40,34,25,0.9,0.1,5.8,,0,0,,,,11.7,0,0.3,0,0,0,0,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Echalot,1 pieza,27,27,29,3,1.3,4.9,,0,0,0,0,0,,,,,,,,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Edamame,1/2 taza,63,64,22,2.1,0.2,4.3,,0,,0,0,0.1,20.6,27.5,16.2,1.6,0.4,159.2,138.2,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Ejotes cocidos picados,8 pieza,129,150,22,2.3,0.3,4.3,,0,,0,0,0,29.7,183.2,67.1,1.1,0,144,405.1,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Ejotitos de cambray,3 pieza,90,90,22,2,0.1,3.9,,0,,0,0,0,8.4,10,131,0,0,131,0,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Endivia cruda,6 pieza,90,90,21,2.7,0.2,4.4,,0,,0,0,0,33.7,232.8,118.8,0.7,122,0,0,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Espárragos,1/2 taza,120,120,28,3.4,0.4,4.4,,0,,0,0,0,56.2,8.3,3.2,0.3,63,94.3,50,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Espinaca cocida,2 taza,134,134,20,1.4,0.2,4.4,,0,,0,0,0,116.6,6,54,1.2,50,142,0,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Flor de calabaza cocida,1 taza,134,134,20,1.4,0.2,4.4,,0,,0,0,0,116.6,6,54,1.2,50,142,0,,,,Verduras,page_020.png,,,,,,,,,,,,,,,
Flor de calabaza cruda,taza,132,132,20,1.2,0,4.4,,,0,0,0,0,128,36,76,0.9,6.6,228,64.7,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Flor de colorín cocida,1/2 taza,40,40,24,1.8,0.1,4,,,0,0,0,0,,14.8,43.2,1,,,,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Flor de colorín cruda,taza,40,40,24,1,0.1,4,,,0,0,0,0,,14.8,43.2,1,,,,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Flor de garambullo,1 1/2 taza,60,60,23,0.5,0.1,4.9,,,0,0,0,0,12.6,24,55.2,2.6,,,,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Flor de mauzey cruda,1 1/2 taza,60,60,21,0.5,0.1,4.4,,,0,0,0,0,,,,,,,,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Flor de yuca cruda,1 1/2 taza,50,50,19,1.3,0.2,3,,,0,0,0.1,0,14.4,35.4,68.4,0.5,0.4,,,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Germen de alfalfa crudo,3 taza,99,99,23,4,0.7,2.1,,,1,0.3,0.4,0.4,135.1,68.4,31.7,0.3,0.4,,,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Germen de lenteja crudo,1/4 taza,19,19,20,1.7,0.1,4.3,,,0,0,0,0,8.1,31.7,78,1,0.3,62,,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Germen de soya cocido,1/3 taza,31,31,25,2.7,0.2,3.7,,,0,0,0,0,47,0.3,25.1,0.5,1.8,42.3,,,,2,verduras,page_021.png,,,,,,,,,,,,,,,
Haba verde,1/2 taza,17,17,17,1.5,0.1,3.7,,,0,0,0,0,19.3,2.6,3.2,0.4,0.6,33.3,,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Hoja de Nori (alga),4 gramos,10,10,23,4,0.2,4,,,55,0,0,0,25.1,125.1,188.1,40,30.4,64.8,,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Hojas de amaranto cocidas,1/2 taza,90,90,20,1.9,0.2,3.7,,,0,0,0,0,39,37,51.3,12,,,,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Hojas de amaranto crudas,1 1/2 taza,118,118,21,2.2,0.3,3.6,,,0,0,0,0,166.9,76.5,193.5,2,,,,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Hojas de chicoría crudas,2 1/2 taza,36,36,19,1,0.3,3.3,,,0,0,0,0,12.6,,8.2,1.1,0.9,369,32.9,,,,verduras,page_021.png,,,,,,,,,,,,,,,
Hojas de diente de león,2 taza,40,40,19,1.4,0.3,3.3,,,0,0,0,0,,67.3,120.4,1.1,61.1,549.9,142.9,,,,verduras,page_021.png,,,,,,,,,,,,,,,
